Num,Nom
442,"Contributions, impôts et taxes recouvrés pour le compte de l'Etat (2)"
443,"Opérations particulières avec l'État, les collectivités publiques, les organismes internationaux"
444,État - Impôts sur les bénéfices
445,État - Taxes sur le chiffre d'affaires
446,Obligations cautionnées
447,"Autres impôts, taxes et versements assimilés"
448,État - Charges à payer et produits à recevoir
449,Quotas d'émission à acquérir
45,GROUPE ET ASSOCIÉS
451,Groupe
455,Associés - Comptes courants
456,Associés - Opérations sur le capital
457,Associés - Dividendes à payer
458,Associés - Opérations faites en commun et en G.I.E.
46,DÉBITEURS DIVERS ET CRÉDITEURS DIVERS
462,Créances sur cessions d'immobilisations
464,Dettes sur acquisitions de valeurs mobilières de placement
465,Créances sur cessions de valeurs mobilières de placement
467,Autres comptes débiteurs ou créditeurs
468,Divers - Charges à payer et produits à recevoir
47,COMPTES TRANSITOIRES OU D'ATTENTE
471,Comptes d'attente
472,Comptes d'attente
473,Comptes d'attente
474,Différences d'évaluation de jetons sur des passifs
475,Comptes d'attente
476,Différence de conversion - ACTIF
477,Différences de conversion - PASSIF
478,Autres comptes transitoires
48,COMPTES DE RÉGULARISATION
481,Charges à répartir sur plusieurs exercices
486,Charges constatées d'avance
487,Produits constatés d'avance
488,Comptes de répartition périodique des charges et des produits
49,DÉPRÉCIATIONS DES COMPTES DE TIERS
491,Dépréciations des comptes de clients
495,Dépréciations des comptes du groupe et des associés
496,Dépréciations des comptes de débiteurs divers
50,VALEURS MOBILIÈRES DE PLACEMENT
501,Parts dans des entreprises liées
502,Actions propres
503,Actions
504,Autres titres conférant un droit de propriété
505,Obligations et bons émis par la société et rachetés par elle
506,Obligations
507,Bons du Trésor et bons de caisse à court terme
508,Autres valeurs mobilières de placement et autres créances assimilées
509,Versements restant à effectuer sur valeurs mobilières de placement non libérées
51,"BANQUES, ÉTABLISSEMENTS FINANCIERS ET ASSIMILÉS"
511,Valeurs à l'encaissement
512,Banques
514,Chèques postaux
515,« Caisses » du Trésor et des établissements publics
516,Sociétés de bourse
517,Autres organismes financiers
518,Intérêts courus
519,Concours bancaires courants
52,INSTRUMENTS FINANCIERS À TERME ET JETONS DÉTENUS
521,Instruments financiers à terme
522,Jetons détenus
523,Jetons auto-détenus
524,Jetons empruntés
53,CAISSE
531,Caisse siège social
532,Caisse succursale (ou usine) A
533,Caisse succursale (ou usine) B
54,RÉGIES D'AVANCE ET ACCRÉDITIFS
58,VIREMENTS INTERNES
59,DÉPRÉCIATIONS DES COMPTES FINANCIERS
590,Dépréciations des valeurs mobilières de placement
60,ACHATS (sauf 603)
601,Achats stockés - Matières premières (et fournitures)
602,Achats stockés - Autres approvisionnements
604,Achats d'études et prestations de services
605,"Achats de matériel, équipements et travaux"
606,Achats non stockés de matières et fournitures
607,Achats de marchandises
608,"(Compte réservé, le cas échéant, à la récapitulation des frais accessoires incorporés aux achats)"
609,"Rabais, remises et ristournes obtenus sur achats"
603,VARIATIONS DES STOCKS (approvisionnements et marchandises)
61,Services extérieurs
611,Sous-traitance générale
612,Redevances de crédit-bail
613,Locations
614,Charges locatives et de copropriété
615,Entretien et réparations
616,Primes d'assurances
617,Études et recherches
618,Divers
619,"Rabais, remises et ristournes obtenus sur services extérieurs"
62,Autres services extérieurs
621,Personnel extérieur à l'entreprise
622,Rémunérations d'intermédiaires et honoraires
623,"Publicité, publications, relations publiques"
624,Transports de biens et transports collectifs du personnel
625,"Déplacements, missions et réceptions"
626,Frais postaux et de télécommunications
627,Services bancaires et assimilés
628,Divers
629,"Rabais, remises et ristournes obtenus sur autres services extérieurs"
63,"IMPÔTS, TAXES ET VERSEMENTS ASSIMILÉS"
631,"Impôts, taxes et versements assimilés sur rémunérations (administrations des impôts)"
633,"Impôts, taxes et versements assimilés sur rémunérations (autres organismes)"
635,"Autres impôts, taxes et versements assimilés (administrations des impôts)"
637,"Autres impôts, taxes et versements assimilés (autres organismes)"
64,CHARGES DE PERSONNEL
641,Rémunérations du personnel
644,Rémunération du travail de l'exploitant
645,Charges de sécurité sociale et de prévoyance
646,Cotisations sociales personnelles de l'exploitant
647,Autres charges sociales
648,Autres charges de personnel
65,AUTRES CHARGES DE GESTION COURANTE
651,"Redevances pour concessions, brevets, licences, marques, procédés, logiciels, droits et valeurs similaires"
653,Jetons de présence
654,Pertes sur créances irrécouvrables
655,Quotes - parts de résultat sur opérations faites en commun
656,Pertes de change sur créances commerciales
658,Charges diverses de gestion courante
66,CHARGES FINANCIÈRES
661,Charges d'intérêts
664,Pertes sur créances liées à des participations
665,Escomptes accordés
666,Pertes de change financières
667,Charges nettes sur cessions de valeurs mobilières de placement
668,Autres charges financières
67,CHARGES EXCEPTIONNELLES
671,Charges exceptionnelles sur opérations de gestion
672,"(Compte à la disposition des entités pour enregistrer, en cours d'exercice, les charges sur exercices antérieurs)"
674,Opérations de constitution ou liquidation des fiducies
675,Valeurs comptables des éléments d'actif cédés
678,Autres charges exceptionnelles
68,"DOTATIONS AUX AMORTISSEMENTS, DÉPRÉCIATIONS ET PROVISIONS"
681,"Dotations aux amortissements, dépréciations et provisions – Charges d'exploitation"
686,"Dotations aux amortissements, dépréciations et provisions - Charges financières"
687,Dotations aux amortissements dépréciations et provisions - Charges exceptionnelles
69,PARTICIPATION DES SALARIÉS - IMPÔTS SUR LES BÉNÉFICES ET ASSIMILÉS
691,Participation des salariés aux résultats
695,Impôts sur les bénéfices
696,Suppléments d'impôt sur les sociétés liés aux distributions
698,Intégration fiscale
699,Produits - Report en arrière des déficits
70,"VENTES DE PRODUITS FABRIQUÉS, PRESTATIONS DE SERVICES, MARCHANDISES"
701,Ventes de produits finis
702,Ventes de produits intermédiaires
703,Ventes de produits résiduels
704,Travaux
705,Études
706,Prestations de services
707,Ventes de marchandises
708,Produits des activités annexes
709,"Rabais, remises et ristournes accordés par l'entreprise"
71,PRODUCTION STOCKÉE (OU DÉSTOCKAGE)
713,"Variation des stocks (en-cours de production, produits)"
72,PRODUCTION IMMOBILISÉE
721,Immobilisations incorporelles
722,Immobilisations corporelles
740,SUBVENTIONS D'EXPLOITATION
75,AUTRES PRODUITS DE GESTION COURANTE
751,"Redevances pour concessions, brevets, licences, marques, procédés, logiciels, droits et valeurs similaires"
752,Revenus des immeubles non affectés à des activités professionnelles
753,"Jetons de présence et rémunérations d'administrateurs, gérants"
754,Ristournes perçues des coopératives (provenant des excédents)
755,Quotes - parts de résultat sur opérations faites en commun
756,Gains de change sur créances commerciales
758,Produits divers de gestion courante
76,PRODUITS FINANCIERS
761,Produits de participations
762,Produits des autres immobilisations financières
763,Revenus des autres créances
764,Revenus des valeurs mobilières de placement
765,Escomptes obtenus
766,Gains de change
767,Produits nets sur cessions de valeurs mobilières de placement
768,Autres produits financiers
77,PRODUITS EXCEPTIONNELS
771,Produits exceptionnels sur opérations de gestion
772,"(Compte à la disposition des entités pour enregistrer, en cours d'exercice, les produits sur exercices antérieurs)"
774,Opérations de constitution ou liquidation des fiducies
775,Produits des cessions d'éléments d'actif
777,Quote - part des subventions d'investissement virée au résultat de l'exercice
778,Autres produits exceptionnels
78,"REPRISES SUR AMORTISSEMENTS, DÉPRÉCIATIONS ET PROVISIONS"
781,"Reprises sur amortissements, dépréciations et provisions (à inscrire dans les produits d'exploitation)"
786,Reprises sur dépréciations et provisions (à inscrire dans les produits financiers)
787,Reprises sur dépréciations et provisions (à inscrire dans les produits exceptionnels)
79,TRANSFERTS DE CHARGES
791,Transferts de charges d'exploitation
796,Transferts de charges financières
797,Transferts de charges exceptionnelles
